label,runs,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,hpwp_lmax_low,hpwp_lmax_high,hpwp_beta_hi,hpwp_beta_lo,hpwp_alpha_exp,hpwp_alpha_stable,hpwp_sched_eta_exec,hpwp_sched_min_sec,hpwp_sched_max_sec,hpwp_horizon_alpha,hpwp_urgency_epsilon_ms,hpwp_phase_window_k,hpwp_phase_n_min,hpwp_phase_var_threshold,hpwp_drift_short_k,hpwp_drift_long_k,hpwp_drift_delta_mr,hpwp_drift_tau_mr,hpwp_drift_branch_tau,hpwp_forget_gamma,hpwp_default_exec_ms,hpwp_default_cold_ms,hpwp_default_trans_ms,hpwp_seed_offset,hpwp_rho_mass,hpwp_tau_p,status
hpwp_24,3,2949.2586598642724,195.48570739392264,2665.1666666666665,130.6831409682723,5594.599999999999,412.1749749802869,8054.706666666665,761.3987552743531,1.0,0.0,0.4268993150636011,0.0012035319496441334,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.6,0.016,ok
hpwp_19,3,2949.4809753798454,179.43623581424544,2657.5,98.61414705811738,5682.899999999999,509.28338869434896,7565.76666666666,734.3094217925618,1.0,0.0,0.424894702426899,0.01139626703257242,2.0,4.0,60.0,10.0,0.8,0.08,0.35,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.3,0.024,ok
hpwp_15,3,2950.305402984544,149.85910271359643,2644.1666666666665,98.19920230497462,5589.583333333333,419.7088048079687,8093.779999999994,823.5161742188272,1.0,0.0,0.4258787830031367,0.004220965095999341,2.0,4.0,60.0,10.0,0.8,0.08,0.575,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.016,ok
hpwp_04,3,2952.5922552270627,129.8916158047257,2663.0,72.50517222929686,5632.883333333334,367.0572718709347,7734.269999999996,355.1807099210121,1.0,0.0,0.42922258181991896,0.0073814450808241385,2.0,4.0,60.0,10.0,0.8,0.08,0.575,1.0,15.0,4.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.02,ok
hpwp_18,3,2952.9796811947394,128.595852134129,2664.6666666666665,94.02836451482783,5694.5166666666655,437.8607722020019,7435.5199999999995,741.9752936587568,1.0,0.0,0.4301961643021847,0.006561346010858125,2.0,4.0,60.0,10.0,0.8,0.08,0.35,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.4,0.008,ok
hpwp_11,3,2953.153130344757,154.7202581913688,2674.8333333333335,114.69779131846146,5506.899999999999,391.233216892431,7507.676666666659,516.6364453204314,1.0,0.0,0.42798629559066353,0.004091908272485792,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.024,ok
hpwp_27,3,2953.9016998811335,146.9263399615835,2672.5,140.59071804354653,5514.25,369.4657257446212,7640.130000000001,1042.914783815051,1.0,0.0,0.4255506960040945,0.007763184570558075,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.3,0.016,ok
hpwp_03,3,2955.545435100286,178.78905610484006,2669.3333333333335,147.0929411404005,5613.983333333333,339.7112094608202,7217.409999999997,462.5669703945552,1.0,0.0,0.42678441117685056,0.006010567628812102,2.0,4.0,60.0,10.0,0.8,0.08,0.85,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.7,0.04,ok
hpwp_07,3,2958.0044930787576,172.7886082400054,2676.6666666666665,105.31065156636974,5718.983333333333,463.19278473798875,7825.246666666666,955.7554696329623,1.0,0.0,0.43189418559205467,0.01176132933983473,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.45,0.02,ok
hpwp_33,3,2959.4995239560444,164.75690976021943,2650.1666666666665,33.927619034251926,5592.283333333332,399.18728791550086,7645.833333333331,687.7646714780686,1.0,0.0,0.4265849920511983,0.013458260123681525,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,2.625,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.4,0.012,ok
