label,scenario,stage,runs,rate_multiplier,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,status,scheme,stage_id,stage_order,delta_avg_vs_prev_pct,delta_avg_vs_g0_pct,delta_p95_vs_prev_pct,delta_p95_vs_g0_pct,delta_p99_vs_prev_pct,delta_p99_vs_g0_pct,dual_objective_delta_vs_g0_pct,p99_constraint_ok
low::g0_base,low,g0_base,2,5e-05,3101.81336238199,237.30647360134498,2859.0,57.982756057296896,5306.65,247.4166627371753,6837.394999999994,709.249314733542,1.0,0.0,0.9203567888846583,0.0053192868925481165,ok,progressive,G0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
low::g1_context,low,g1_context,2,5e-05,2334.2739651416123,129.21182509505695,2381.5,67.17514421272202,3731.8999999999996,73.39768388716408,4119.204999999998,99.34143168889759,1.0,0.0,0.8945323666243608,0.0020442693485017904,ok,progressive,G1,1,-24.74486074980854,-24.74486074980854,-29.675030386401968,-29.675030386401968,-39.75476040217069,-39.75476040217069,-27.209945568105255,1
low::g2_context_phase_drift,low,g2_context_phase_drift,2,5e-05,2005.1782861292666,139.08949574829845,2056.5,103.94469683442249,3067.325,171.50874977679754,3544.1499999999983,302.79726583970097,1.0,0.0,0.8802990210322938,0.007753756607704562,ok,progressive,G2,2,-14.098417063584936,-35.35464414308214,-17.80795305340443,-42.19846796001244,-13.960339434429706,-48.16520034311311,-38.77655605154729,1
mid::g0_base,mid,g0_base,2,0.0001,2826.7170072791114,194.9477968352777,2708.25,296.6312947077567,4803.375,94.22197859310745,6174.174999999999,659.8366928642284,1.0,0.0,0.9159390532856985,0.00435702520862123,ok,progressive,G0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mid::g1_context,mid,g1_context,2,0.0001,2292.2572150000988,106.3343363944993,2317.0,243.24473272817235,3643.375,44.37095051945586,4494.874999999999,328.6278765564492,1.0,0.0,0.8941935943746471,0.0020700418740192987,ok,progressive,G1,1,-18.907438944284806,-18.907438944284806,-24.149686418403725,-24.149686418403725,-27.198775544910863,-27.198775544910863,-21.528562681344265,1
mid::g2_context_phase_drift,mid,g2_context_phase_drift,2,0.0001,1950.4192935908309,104.75457143780132,2034.5,86.97413408594535,3050.125,110.83898795099132,3968.075,33.481506089183284,1.0,0.0,0.877499619111115,0.0035069624737899497,ok,progressive,G2,2,-14.912720927317624,-31.000546267338265,-16.2829793803822,-36.500377338850285,-11.720014460913806,-35.73108957876963,-33.750461803094275,1
high::g0_base,high,g0_base,2,0.0002,2076.0546439311747,29.69269925001132,2015.25,37.123106012293746,4694.175,15.308861812688496,5764.814999999997,260.5900620706737,1.0,0.0,0.8850112171987605,0.00010983489190818294,ok,progressive,G0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
high::g1_context,high,g1_context,2,0.0002,1776.6179730771428,61.289685486170775,1813.25,52.67945519839779,3664.625,45.855874759947866,4414.624999999998,188.52173893214905,1.0,0.0,0.8673173874284413,0.006827863355972487,ok,progressive,G1,1,-14.423352088990526,-14.423352088990526,-21.932501451266734,-21.932501451266734,-23.421219935071626,-23.421219935071626,-18.17792677012863,1
high::g2_context_phase_drift,high,g2_context_phase_drift,2,0.0002,1531.9739181845866,18.392617687511198,1558.25,49.14392129246505,3067.9500000000007,84.35783899555429,3956.6699999999973,83.33960523064337,1.0,0.0,0.8427692327810175,0.004177272825559862,ok,progressive,G2,2,-13.770211638061225,-26.207437619095032,-16.282020670600655,-34.64346770199235,-10.373587790582462,-31.365186914064036,-30.42545266054369,1
