label,scenario,stage,runs,rate_multiplier,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,status,scheme,stage_id,stage_order,delta_avg_vs_prev_pct,delta_avg_vs_g0_pct,delta_p95_vs_prev_pct,delta_p95_vs_g0_pct,delta_p99_vs_prev_pct,delta_p99_vs_g0_pct,dual_objective_delta_vs_g0_pct,p99_constraint_ok
low::g0_base,low,g0_base,2,5e-05,3535.433629776021,112.76466610212796,3488.0,41.012193308819754,6745.025,269.3723282930158,8148.1900000000005,325.3539721595529,1.0,0.0,0.6490899778647756,0.013352088000488095,ok,progressive,G0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
low::g1_context,low,g1_context,2,5e-05,3007.938899868248,84.96996615046787,3038.25,133.2896282536642,5091.15,213.75837995269345,6590.450000000001,847.8917413207881,1.0,0.0,0.5921507491631457,0.011560801854736335,ok,progressive,G1,1,-14.920227195473931,-14.920227195473931,-24.519923943943873,-24.519923943943873,-19.117619986770066,-19.117619986770066,-19.720075569708904,1
low::g2_context_phase_drift,low,g2_context_phase_drift,2,5e-05,2803.685770750988,140.51581237523675,2825.5,89.09545442950498,4929.325,168.75103333016932,6394.210000000001,600.3902257698725,1.0,0.0,0.5628962104296127,0.0136218700245501,ok,progressive,G2,2,-6.790468022013564,-20.697541960967065,-3.17855494338214,-26.919099632692244,-2.9776418909179156,-21.52600761641542,-23.808320796829655,1
mid::g0_base,mid,g0_base,2,0.0001,2708.297751732507,59.67908519522536,2387.0,80.61017305526642,5831.449999999998,320.2486611993884,7997.730000000005,196.33526886425605,1.0,0.0,0.5467742912835558,0.01727396879028866,ok,progressive,G0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
mid::g1_context,mid,g1_context,2,0.0001,2552.2175081701953,65.17130239814377,2380.5,10.606601717798213,5056.049999999999,283.6205299339238,7454.430000000019,480.5639106299801,1.0,0.0,0.5259731209626907,0.004220853453444991,ok,progressive,G1,1,-5.763038552997608,-5.763038552997608,-13.296864416225793,-13.296864416225793,-6.7931775641336385,-6.7931775641336385,-9.5299514846117,1
mid::g2_context_phase_drift,mid,g2_context_phase_drift,2,0.0001,2347.915929486156,19.19306502236075,2200.0,144.2497833620557,4513.599999999999,242.39620459074797,6296.530000000017,383.35087035246994,1.0,0.0,0.4763573789589925,0.0013273352914218786,ok,progressive,G2,2,-8.00486549559456,-13.306580563965447,-10.728730926315995,-22.599010537687864,-15.533045450825874,-21.27103565636733,-17.952795550826657,1
high::g0_base,high,g0_base,2,0.0002,2067.3011247300365,10.621813646700755,1551.0,76.36753236814714,5042.65,77.56961389616542,7251.39,306.1913783893978,1.0,0.0,0.406779704292185,0.00829012307375527,ok,progressive,G0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
high::g1_context,high,g1_context,2,0.0002,1990.389106616044,16.055712259799098,1555.0,83.43860018001261,4572.65,14.637110370562048,6337.220000000012,339.94865612324605,1.0,0.0,0.3842721040760738,0.003912253218141625,ok,progressive,G1,1,-3.720407114083884,-3.720407114083884,-9.320496167689608,-9.320496167689608,-12.606824346780249,-12.606824346780249,-6.520451640886746,1
high::g2_context_phase_drift,high,g2_context_phase_drift,2,0.0002,1912.749327907295,2.5032003999903814,1529.5,28.991378028648448,4185.45,66.39732675341655,6048.970000000014,832.7313719321565,1.0,0.0,0.36160179865380204,0.01038266971728469,ok,progressive,G2,2,-3.9007337033082976,-7.476017643192832,-8.467737526379668,-16.998998542433043,-4.548524431848628,-16.581924293135337,-12.237508092812938,1
