parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
lmax,$L_{max}$,hpwp_lmax_high,1.0,low,Low,5e-05,3,ok,3163.355036456194,173.88066396318277,5688.466666666666,68.67853255081535,6938.469999999997,577.2623721497905,1.0,0.0,0.619266992088057,0.013248239805296404
lmax,$L_{max}$,hpwp_lmax_high,1.0,mid,Medium,0.0001,3,ok,2486.263450008488,145.29491960104392,4975.399999999999,378.36137487856803,6919.7333333333345,491.11700696813494,1.0,0.0,0.520203198666299,0.008829963010679672
lmax,$L_{max}$,hpwp_lmax_high,1.0,high,High,0.0002,3,ok,2021.0390550219827,87.8661736879817,4677.133333333334,178.11064912950386,6879.363333333334,500.6435870290698,1.0,0.0,0.4134868916629085,0.0049193401703466035
lmax,$L_{max}$,hpwp_lmax_high,2.0,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
lmax,$L_{max}$,hpwp_lmax_high,2.0,mid,Medium,0.0001,3,ok,2545.4150056042367,150.7986031397991,5060.533333333333,412.546025715111,6928.066666666676,424.17009339808936,1.0,0.0,0.5280236905337942,0.007939172503195546
lmax,$L_{max}$,hpwp_lmax_high,2.0,high,High,0.0002,3,ok,1997.6925754148485,115.97918025237854,4699.25,257.7429678963133,6245.546666666669,383.41461857020545,1.0,0.0,0.40498292276879827,0.003965320673153107
lmax,$L_{max}$,hpwp_lmax_high,3.0,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,3,ok,2565.2399770374927,233.22139994879137,5111.933333333332,473.2149652465926,6837.106666666669,601.2622357452248,1.0,0.0,0.5336392545875629,0.018987831336028053
lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,3,ok,2001.0371515905128,98.77519268106106,4651.916666666665,177.29694253802856,6410.610000000001,508.33610642960065,1.0,0.0,0.4044452338900512,0.005195660319534681
lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
lmax,$L_{max}$,hpwp_lmax_high,4.0,mid,Medium,0.0001,3,ok,2530.0997532018314,180.53007069519157,5068.333333333333,333.0491605353987,6855.2466666666705,557.6795256536954,1.0,0.0,0.526753376898388,0.0187838064393186
lmax,$L_{max}$,hpwp_lmax_high,4.0,high,High,0.0002,3,ok,1980.142445614333,101.56509216670551,4593.466666666666,310.6894000981246,6501.646666666677,353.3481944673436,1.0,0.0,0.39681237016589094,0.00771776683661691
lmax,$L_{max}$,hpwp_lmax_high,5.0,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
lmax,$L_{max}$,hpwp_lmax_high,5.0,mid,Medium,0.0001,3,ok,2531.850627826157,181.41671697294063,4935.233333333333,433.82379295439034,6744.939999999999,754.7671312398347,1.0,0.0,0.5234857379270951,0.010684154920428304
lmax,$L_{max}$,hpwp_lmax_high,5.0,high,High,0.0002,3,ok,2005.880804219399,84.98593691967902,4635.883333333334,239.3978714051844,6714.276666666675,359.154725756648,1.0,0.0,0.40297830681386543,0.011584008128723
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,low,Low,5e-05,3,ok,3162.838052686755,170.28359919125813,5671.283333333332,250.514192878034,7494.266666666662,98.52541516447461,1.0,0.0,0.6159968162842585,0.014579563726823296
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,mid,Medium,0.0001,3,ok,2520.9873890442436,124.99358899693553,4963.933333333333,402.12961011760143,6546.773333333338,82.77200573462792,1.0,0.0,0.5296455287005163,0.014562175853358767
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,high,High,0.0002,3,ok,1991.1484770956683,97.15551977182317,4598.033333333333,211.6466473472549,6288.826666666675,585.1203603818077,1.0,0.0,0.4013351817969502,0.003496373908951023
