label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
lmax_3_mid,lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-163943_least_load_hpwp_v1,2730.533718689788,2413.0,5364.9,7437.420000000009,1.0,0.5462630199972197,ok
lmax_3_mid,lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-163947_least_load_hpwp_v1,2666.7145488029464,2448.0,5404.899999999999,6839.000000000008,1.0,0.5428521311081431,ok
lmax_3_mid,lmax,$L_{max}$,hpwp_lmax_high,3.0,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-163952_least_load_hpwp_v1,2298.471663619744,2028.0,4565.999999999998,6234.899999999988,1.0,0.5118026126573257,ok
lmax_3_high,lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-163956_least_load_hpwp_v1,2075.919735599622,1557.0,4720.099999999997,6234.860000000006,1.0,0.4028868280962646,ok
lmax_3_high,lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164001_least_load_hpwp_v1,2038.1008100810081,1533.0,4785.0,6983.5000000000055,1.0,0.4002071252865086,ok
lmax_3_high,lmax,$L_{max}$,hpwp_lmax_high,3.0,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164005_least_load_hpwp_v1,1889.090909090909,1563.0,4450.650000000001,6013.469999999989,1.0,0.4102417482873804,ok
lmax_4_low,lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164010_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
lmax_4_low,lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164014_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
lmax_4_low,lmax,$L_{max}$,hpwp_lmax_high,4.0,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164018_least_load_hpwp_v1,2978.4802867383514,2935.0,5780.499999999999,6863.359999999961,1.0,0.6169488180448522,ok
lmax_4_mid,lmax,$L_{max}$,hpwp_lmax_high,4.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164022_least_load_hpwp_v1,2607.9306358381505,2313.0,5328.9,7493.780000000002,1.0,0.5230060080560555,ok
lmax_4_mid,lmax,$L_{max}$,hpwp_lmax_high,4.0,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164027_least_load_hpwp_v1,2658.659300184162,2448.0,5183.0,6463.78000000001,1.0,0.5471283938234422,ok
lmax_4_mid,lmax,$L_{max}$,hpwp_lmax_high,4.0,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164032_least_load_hpwp_v1,2323.709323583181,2123.0,4693.0999999999985,6608.179999999999,1.0,0.5101257288156662,ok
lmax_4_high,lmax,$L_{max}$,hpwp_lmax_high,4.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164036_least_load_hpwp_v1,2067.851746931067,1559.0,4706.899999999996,6272.740000000025,1.0,0.39457726653134567,ok
lmax_4_high,lmax,$L_{max}$,hpwp_lmax_high,4.0,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164041_least_load_hpwp_v1,2003.7101710171016,1519.0,4831.5,6908.6000000000095,1.0,0.3904588337925774,ok
lmax_4_high,lmax,$L_{max}$,hpwp_lmax_high,4.0,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164046_least_load_hpwp_v1,1868.8654188948306,1578.0,4242.000000000001,6323.5999999999985,1.0,0.4054010101737497,ok
lmax_5_low,lmax,$L_{max}$,hpwp_lmax_high,5.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164051_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
lmax_5_low,lmax,$L_{max}$,hpwp_lmax_high,5.0,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164055_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
