strategy,low,mid,high
hpwp,43.302099999999996,30.3666,18.403200000000002
xanadu,59.4686,40.5511,23.9605
kraken_vomm,49.9259,35.57,21.529400000000003
lass,70.9662,44.1713,27.5312
rl_q,59.151399999999995,37.252,21.296300000000002
hptd,61.7387,40.097500000000004,22.877
kpa,49.119600000000005,30.9513,17.738300000000002
depth_breadth,36.916900000000005,27.230300000000003,16.4521
