strategy,avg_memory_time_cost_mb_sec,avg_memory_time_cost_x1e8
oracle,6007423.888888667,0.060074238888886675
xanadu,58461474.333333336,0.5846147433333334
hpwp,58903527.333333336,0.5890352733333334
kraken_vomm,79887676.00000034,0.7988767600000034
lass,90312983.88888867,0.9031298388888868
rl_q,102067613.77777767,1.0206761377777767
depth_breadth,106048445.44444434,1.0604844544444434
hptd,113774926.22222233,1.1377492622222234
kpa,140623905.5555553,1.406239055555553
