strategy,avg_memory_time_cost,oracle_avg_memory_time_cost,delta_pct_vs_oracle
xanadu,58461474.333333336,6007423.888888667,873.1538079319439
hpwp,58903527.333333336,6007423.888888667,880.512253218577
kraken_vomm,79887676.00000034,6007423.888888667,1229.8158657949975
lass,90312983.88888867,6007423.888888667,1403.356273159475
rl_q,102067613.77777767,6007423.888888667,1599.0246679040235
depth_breadth,106048445.44444434,6007423.888888667,1665.2898714304406
hptd,113774926.22222233,6007423.888888667,1793.9054131448997
kpa,140623905.5555553,6007423.888888667,2240.835408928831
