parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
rho_mass,$\rho_{mass}$,0.8,mid,Medium,avg_e2e_ms,Avg,2570.470134874759,0.0,1
rho_mass,$\rho_{mass}$,0.8,mid,Medium,p95_ms,P95,5215.799999999999,0.0,1
rho_mass,$\rho_{mass}$,0.8,mid,Medium,p99_ms,P99,6946.600000000037,0.0,1
rho_mass,$\rho_{mass}$,0.8,high,High,avg_e2e_ms,Avg,2053.148253068933,0.0,1
rho_mass,$\rho_{mass}$,0.8,high,High,p95_ms,P95,4678.2,0.0,1
rho_mass,$\rho_{mass}$,0.8,high,High,p99_ms,P99,6805.020000000028,0.0,1
rho_mass,$\rho_{mass}$,0.9,low,Low,avg_e2e_ms,Avg,3173.0795454545455,0.0,1
rho_mass,$\rho_{mass}$,0.9,low,Low,p95_ms,P95,5289.85,0.0,1
rho_mass,$\rho_{mass}$,0.9,low,Low,p99_ms,P99,6390.870000000001,0.0,1
rho_mass,$\rho_{mass}$,0.9,mid,Medium,avg_e2e_ms,Avg,2574.344894026975,0.0,1
rho_mass,$\rho_{mass}$,0.9,mid,Medium,p95_ms,P95,5249.2,0.0,1
rho_mass,$\rho_{mass}$,0.9,mid,Medium,p99_ms,P99,6391.780000000016,0.0,1
rho_mass,$\rho_{mass}$,0.9,high,High,avg_e2e_ms,Avg,2032.9414542020775,0.0,1
rho_mass,$\rho_{mass}$,0.9,high,High,p95_ms,P95,4686.399999999996,0.0,1
rho_mass,$\rho_{mass}$,0.9,high,High,p99_ms,P99,6064.620000000001,0.0,1
rho_mass,$\rho_{mass}$,1.0,low,Low,avg_e2e_ms,Avg,3189.5530303030305,0.0,1
rho_mass,$\rho_{mass}$,1.0,low,Low,p95_ms,P95,5370.25,0.0,1
rho_mass,$\rho_{mass}$,1.0,low,Low,p99_ms,P99,7239.4100000000035,0.0,1
rho_mass,$\rho_{mass}$,1.0,mid,Medium,avg_e2e_ms,Avg,2635.277456647399,0.0,1
rho_mass,$\rho_{mass}$,1.0,mid,Medium,p95_ms,P95,5315.3,0.0,1
rho_mass,$\rho_{mass}$,1.0,mid,Medium,p99_ms,P99,7157.120000000008,0.0,1
rho_mass,$\rho_{mass}$,1.0,high,High,avg_e2e_ms,Avg,1990.6440037771483,0.0,1
rho_mass,$\rho_{mass}$,1.0,high,High,p95_ms,P95,4629.699999999999,0.0,1
rho_mass,$\rho_{mass}$,1.0,high,High,p99_ms,P99,6110.400000000009,0.0,1
tau_p,$\tau_p$,0.02,low,Low,avg_e2e_ms,Avg,3109.8863636363635,0.0,1
tau_p,$\tau_p$,0.02,low,Low,p95_ms,P95,5454.55,0.0,1
tau_p,$\tau_p$,0.02,low,Low,p99_ms,P99,6800.030000000003,0.0,1
tau_p,$\tau_p$,0.02,mid,Medium,avg_e2e_ms,Avg,2537.057803468208,0.0,1
tau_p,$\tau_p$,0.02,mid,Medium,p95_ms,P95,5300.299999999999,0.0,1
tau_p,$\tau_p$,0.02,mid,Medium,p99_ms,P99,6879.800000000029,0.0,1
tau_p,$\tau_p$,0.02,high,High,avg_e2e_ms,Avg,2003.409820585458,0.0,1
tau_p,$\tau_p$,0.02,high,High,p95_ms,P95,4713.199999999998,0.0,1
tau_p,$\tau_p$,0.02,high,High,p99_ms,P99,6299.800000000003,0.0,1
tau_p,$\tau_p$,0.05,low,Low,avg_e2e_ms,Avg,3104.3636363636365,0.0,1
tau_p,$\tau_p$,0.05,low,Low,p95_ms,P95,5365.55,0.0,1
tau_p,$\tau_p$,0.05,low,Low,p99_ms,P99,6245.120000000001,0.0,1
tau_p,$\tau_p$,0.05,mid,Medium,avg_e2e_ms,Avg,2555.9537572254335,0.0,1
tau_p,$\tau_p$,0.05,mid,Medium,p95_ms,P95,5205.599999999999,0.0,1
tau_p,$\tau_p$,0.05,mid,Medium,p99_ms,P99,6950.800000000019,0.0,1
tau_p,$\tau_p$,0.05,high,High,avg_e2e_ms,Avg,2059.3163361661946,0.0,1
tau_p,$\tau_p$,0.05,high,High,p95_ms,P95,4696.299999999999,0.0,1
tau_p,$\tau_p$,0.05,high,High,p99_ms,P99,6110.120000000006,0.0,1
tau_p,$\tau_p$,0.1,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
tau_p,$\tau_p$,0.1,low,Low,p95_ms,P95,5536.1,0.0,1
tau_p,$\tau_p$,0.1,low,Low,p99_ms,P99,6554.910000000002,0.0,1
tau_p,$\tau_p$,0.1,mid,Medium,avg_e2e_ms,Avg,2483.5568400770712,0.0,1
tau_p,$\tau_p$,0.1,mid,Medium,p95_ms,P95,5209.7,0.0,1
tau_p,$\tau_p$,0.1,mid,Medium,p99_ms,P99,6358.240000000002,0.0,1
tau_p,$\tau_p$,0.1,high,High,avg_e2e_ms,Avg,2048.4372049102926,0.0,1
tau_p,$\tau_p$,0.1,high,High,p95_ms,P95,4647.2,0.0,1
tau_p,$\tau_p$,0.1,high,High,p99_ms,P99,6694.340000000042,0.0,1
tau_p,$\tau_p$,0.2,low,Low,avg_e2e_ms,Avg,3226.9772727272725,0.0,1
tau_p,$\tau_p$,0.2,low,Low,p95_ms,P95,5502.95,0.0,1
tau_p,$\tau_p$,0.2,low,Low,p99_ms,P99,6339.4400000000005,0.0,1
tau_p,$\tau_p$,0.2,mid,Medium,avg_e2e_ms,Avg,2558.562620423892,0.0,1
tau_p,$\tau_p$,0.2,mid,Medium,p95_ms,P95,5251.599999999999,0.0,1
tau_p,$\tau_p$,0.2,mid,Medium,p99_ms,P99,7265.040000000019,0.0,1
tau_p,$\tau_p$,0.2,high,High,avg_e2e_ms,Avg,2066.623229461756,0.0,1
tau_p,$\tau_p$,0.2,high,High,p95_ms,P95,4964.2,0.0,1
tau_p,$\tau_p$,0.2,high,High,p99_ms,P99,7031.360000000001,0.0,1
tau_p,$\tau_p$,0.3,low,Low,avg_e2e_ms,Avg,3219.810606060606,0.0,1
tau_p,$\tau_p$,0.3,low,Low,p95_ms,P95,5580.7,0.0,1
tau_p,$\tau_p$,0.3,low,Low,p99_ms,P99,6927.55,0.0,1
