label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
rho_mass_0p9_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.9,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175007_least_load_hpwp_v1,3173.0795454545455,3051.5,5289.85,6390.870000000001,1.0,0.6096708460020557,ok
rho_mass_0p9_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.9,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175011_least_load_hpwp_v1,2574.344894026975,2326.0,5249.2,6391.780000000016,1.0,0.5113776443863975,ok
rho_mass_0p9_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.9,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175015_least_load_hpwp_v1,2032.9414542020775,1555.0,4686.399999999996,6064.620000000001,1.0,0.39501088074839114,ok
rho_mass_1_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,1.0,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175019_least_load_hpwp_v1,3189.5530303030305,3034.5,5370.25,7239.4100000000035,1.0,0.6089482472370736,ok
rho_mass_1_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,1.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175023_least_load_hpwp_v1,2635.277456647399,2357.0,5315.3,7157.120000000008,1.0,0.5252857150168639,ok
rho_mass_1_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,1.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175027_least_load_hpwp_v1,1990.6440037771483,1566.0,4629.699999999999,6110.400000000009,1.0,0.3872169715553211,ok
tau_p_0p02_low,tau_p,$\tau_p$,hpwp_tau_p,0.02,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175031_least_load_hpwp_v1,3109.8863636363635,3040.5,5454.55,6800.030000000003,1.0,0.6017673353552332,ok
tau_p_0p02_mid,tau_p,$\tau_p$,hpwp_tau_p,0.02,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175035_least_load_hpwp_v1,2537.057803468208,2306.0,5300.299999999999,6879.800000000029,1.0,0.5138672760536874,ok
tau_p_0p02_high,tau_p,$\tau_p$,hpwp_tau_p,0.02,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175039_least_load_hpwp_v1,2003.409820585458,1519.0,4713.199999999998,6299.800000000003,1.0,0.3908859823973386,ok
tau_p_0p05_low,tau_p,$\tau_p$,hpwp_tau_p,0.05,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175043_least_load_hpwp_v1,3104.3636363636365,2943.5,5365.55,6245.120000000001,1.0,0.6026731677794698,ok
tau_p_0p05_mid,tau_p,$\tau_p$,hpwp_tau_p,0.05,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175047_least_load_hpwp_v1,2555.9537572254335,2333.0,5205.599999999999,6950.800000000019,1.0,0.5181607791698705,ok
tau_p_0p05_high,tau_p,$\tau_p$,hpwp_tau_p,0.05,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175051_least_load_hpwp_v1,2059.3163361661946,1548.0,4696.299999999999,6110.120000000006,1.0,0.3994990865804359,ok
tau_p_0p1_low,tau_p,$\tau_p$,hpwp_tau_p,0.1,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175055_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
tau_p_0p1_mid,tau_p,$\tau_p$,hpwp_tau_p,0.1,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175059_least_load_hpwp_v1,2483.5568400770712,2304.0,5209.7,6358.240000000002,1.0,0.5052220151656444,ok
tau_p_0p1_high,tau_p,$\tau_p$,hpwp_tau_p,0.1,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175103_least_load_hpwp_v1,2048.4372049102926,1565.0,4647.2,6694.340000000042,1.0,0.39860507676457096,ok
tau_p_0p2_low,tau_p,$\tau_p$,hpwp_tau_p,0.2,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175107_least_load_hpwp_v1,3226.9772727272725,3179.0,5502.95,6339.4400000000005,1.0,0.6163205082155409,ok
tau_p_0p2_mid,tau_p,$\tau_p$,hpwp_tau_p,0.2,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175111_least_load_hpwp_v1,2558.562620423892,2327.0,5251.599999999999,7265.040000000019,1.0,0.5111206165552371,ok
tau_p_0p2_high,tau_p,$\tau_p$,hpwp_tau_p,0.2,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175115_least_load_hpwp_v1,2066.623229461756,1550.0,4964.2,7031.360000000001,1.0,0.4071418845502556,ok
tau_p_0p3_low,tau_p,$\tau_p$,hpwp_tau_p,0.3,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175119_least_load_hpwp_v1,3219.810606060606,2929.0,5580.7,6927.55,1.0,0.6088032187099279,ok
tau_p_0p3_mid,tau_p,$\tau_p$,hpwp_tau_p,0.3,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175123_least_load_hpwp_v1,2535.5510597302505,2314.0,5277.7,6590.92000000001,1.0,0.5095227709846339,ok
tau_p_0p3_high,tau_p,$\tau_p$,hpwp_tau_p,0.3,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175127_least_load_hpwp_v1,2040.7337110481587,1559.0,4687.799999999999,6240.8000000000175,1.0,0.39866931157071483,ok
forget_gamma_0p75_low,forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175131_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
forget_gamma_0p75_mid,forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175135_least_load_hpwp_v1,2534.1618497109826,2310.0,5225.1,6557.4800000000005,1.0,0.5133854915109904,ok
forget_gamma_0p75_high,forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175139_least_load_hpwp_v1,2052.4334277620396,1539.0,4674.1,6500.700000000035,1.0,0.40278128590075024,ok
forget_gamma_0p85_low,forget_gamma,$\gamma$,hpwp_forget_gamma,0.85,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175143_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
forget_gamma_0p85_mid,forget_gamma,$\gamma$,hpwp_forget_gamma,0.85,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175146_least_load_hpwp_v1,2562.6493256262042,2314.0,5285.0,6706.2600000000175,1.0,0.5132257906865713,ok
forget_gamma_0p85_high,forget_gamma,$\gamma$,hpwp_forget_gamma,0.85,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175150_least_load_hpwp_v1,1997.8498583569406,1501.0,4624.599999999999,5659.42,1.0,0.39239352221439194,ok
forget_gamma_0p9_low,forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175154_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
forget_gamma_0p9_mid,forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175158_least_load_hpwp_v1,2545.0867052023123,2328.0,5225.799999999999,6223.100000000008,1.0,0.5109788780377016,ok
forget_gamma_0p9_high,forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175202_least_load_hpwp_v1,1997.9102927289896,1518.0,4659.799999999998,6107.420000000004,1.0,0.3879535132789832,ok
forget_gamma_0p95_low,forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175206_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
forget_gamma_0p95_mid,forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175210_least_load_hpwp_v1,2545.0867052023123,2328.0,5225.799999999999,6223.100000000008,1.0,0.5109788780377016,ok
forget_gamma_0p95_high,forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175214_least_load_hpwp_v1,2033.703493862134,1565.0,4703.499999999998,6395.580000000011,1.0,0.38883879403368726,ok
forget_gamma_0p99_low,forget_gamma,$\gamma$,hpwp_forget_gamma,0.99,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-175218_least_load_hpwp_v1,3158.9810606060605,3009.0,5536.1,6554.910000000002,1.0,0.6092597944053211,ok
forget_gamma_0p99_mid,forget_gamma,$\gamma$,hpwp_forget_gamma,0.99,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-175221_least_load_hpwp_v1,2589.1098265895953,2314.0,5294.5,6556.200000000008,1.0,0.5186850510661225,ok
forget_gamma_0p99_high,forget_gamma,$\gamma$,hpwp_forget_gamma,0.99,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-175225_least_load_hpwp_v1,2058.070821529745,1555.0,4679.299999999999,5919.460000000001,1.0,0.4048117524364567,ok
