parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
tau_p,$\tau_p$,hpwp_tau_p,0.02,low,Low,5e-05,1,ok,3109.8863636363635,0.0,5454.55,0.0,6800.030000000003,0.0,1.0,0.0,0.6017673353552332,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.02,mid,Medium,0.0001,1,ok,2537.057803468208,0.0,5300.299999999999,0.0,6879.800000000029,0.0,1.0,0.0,0.5138672760536874,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.02,high,High,0.0002,1,ok,2003.409820585458,0.0,4713.199999999998,0.0,6299.800000000003,0.0,1.0,0.0,0.3908859823973386,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.05,low,Low,5e-05,1,ok,3104.3636363636365,0.0,5365.55,0.0,6245.120000000001,0.0,1.0,0.0,0.6026731677794698,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.05,mid,Medium,0.0001,1,ok,2555.9537572254335,0.0,5205.599999999999,0.0,6950.800000000019,0.0,1.0,0.0,0.5181607791698705,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.05,high,High,0.0002,1,ok,2059.3163361661946,0.0,4696.299999999999,0.0,6110.120000000006,0.0,1.0,0.0,0.3994990865804359,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.1,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.1,mid,Medium,0.0001,1,ok,2483.5568400770712,0.0,5209.7,0.0,6358.240000000002,0.0,1.0,0.0,0.5052220151656444,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.1,high,High,0.0002,1,ok,2048.4372049102926,0.0,4647.2,0.0,6694.340000000042,0.0,1.0,0.0,0.39860507676457096,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.2,low,Low,5e-05,1,ok,3226.9772727272725,0.0,5502.95,0.0,6339.4400000000005,0.0,1.0,0.0,0.6163205082155409,0.0
