parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,scenario_count,runs
forget_gamma,$\gamma$,0.75,load_avg,Load Average,p95_ms,P95,5762.543069444467,680.3867412719411,3,9
forget_gamma,$\gamma$,0.75,load_avg,Load Average,p99_ms,P99,8385.750745555533,252.37385823488754,3,9
forget_gamma,$\gamma$,0.85,load_avg,Load Average,avg_e2e_ms,Avg,2588.2490898238666,612.0255261273717,3,9
forget_gamma,$\gamma$,0.85,load_avg,Load Average,p95_ms,P95,5293.296236111133,616.1453838228606,3,9
forget_gamma,$\gamma$,0.85,load_avg,Load Average,p99_ms,P99,7272.364528888899,162.44210056648748,3,9
forget_gamma,$\gamma$,0.9,load_avg,Load Average,avg_e2e_ms,Avg,2551.316495497567,591.0205497226801,3,9
forget_gamma,$\gamma$,0.9,load_avg,Load Average,p95_ms,P95,5122.611111111133,560.8471353758306,3,9
forget_gamma,$\gamma$,0.9,load_avg,Load Average,p99_ms,P99,6893.988888888867,107.06410646239931,3,9
forget_gamma,$\gamma$,0.95,load_avg,Load Average,avg_e2e_ms,Avg,2621.518921158467,605.6472811644203,3,9
forget_gamma,$\gamma$,0.95,load_avg,Load Average,p95_ms,P95,5383.3896611111,603.089816991266,3,9
forget_gamma,$\gamma$,0.95,load_avg,Load Average,p99_ms,P99,7575.760298222201,169.24825651101176,3,9
forget_gamma,$\gamma$,0.99,load_avg,Load Average,avg_e2e_ms,Avg,2677.4813146466663,641.3382310911336,3,9
forget_gamma,$\gamma$,0.99,load_avg,Load Average,p95_ms,P95,5528.057486111099,676.0398092589771,3,9
forget_gamma,$\gamma$,0.99,load_avg,Load Average,p99_ms,P99,7834.578790555567,245.37107937542763,3,9
