label,runs,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,param_name,param_value,status
autoscaler.hpwp_alpha_exp_01,3,2545.4283870951585,137.04120087082347,2236.3333333333335,94.74879066950318,5030.699999999997,345.9596363739601,6558.01333333335,613.1361872645948,1.0,0.0,0.5304581484490908,0.0023129447348251226,autoscaler.hpwp_alpha_exp,0.55,ok
autoscaler.hpwp_alpha_exp_02,3,2527.242654556535,115.19084700041178,2329.0,45.17742799230607,5013.2666666666655,405.97983119033745,6824.726666666683,270.7019588649996,1.0,0.0,0.5309465536653238,0.009615357699433964,autoscaler.hpwp_alpha_exp,0.65,ok
autoscaler.hpwp_alpha_exp_03,3,2519.0006889867896,203.48603350763835,2270.0,220.80987296767324,5065.5999999999985,308.9509346158401,6643.800000000009,703.9655511458111,1.0,0.0,0.5236359381860404,0.01397613924496643,autoscaler.hpwp_alpha_exp,0.75,ok
autoscaler.hpwp_alpha_exp_04,3,2504.8831822022225,177.79625997489717,2183.0,140.26760139105536,4999.433333333332,389.3853404191456,6771.800000000003,505.8432251202167,1.0,0.0,0.5218784732661486,0.010541393956087509,autoscaler.hpwp_alpha_exp,0.8,ok
autoscaler.hpwp_alpha_exp_05,3,2535.7706405402046,163.857172642492,2273.0,138.4882666510055,5027.433333333333,381.51913888209276,6817.313333333335,70.83587320936556,1.0,0.0,0.5294842859241112,0.010473888124491482,autoscaler.hpwp_alpha_exp,0.9,ok
autoscaler.hpwp_alpha_exp_06,3,2523.64370890807,143.03340872059908,2291.0,164.54786537661315,5054.9,315.087749682529,6871.926666666663,579.6199086758012,1.0,0.0,0.5258764948240793,0.006823857972848421,autoscaler.hpwp_alpha_exp,0.95,ok
