scenario,strategy,runs,rate_multiplier,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_step_rate_mean,cold_start_step_rate_std,prewarm_utilization_mean,prewarm_utilization_std,prewarm_cost_mean,prewarm_cost_std,memory_time_cost_mean,memory_time_cost_std,ctre95_mean,ctre95_std
high,hpwp,15,2.0,1416.025977218239,915.3795628762966,4049.5866666666657,1879.960346700607,5192.639999999999,1923.3856475199436,1.0,0.0,0.1697707686080712,0.022757870774729388,0.6633294588691779,0.03726920094940293,583.6,180.65151930878253,106125384.06666666,18741824.841647673,1.0,0.0
high,xanadu,15,2.0,1547.6645627968408,975.9735509707,4563.466666666664,1782.7352475166056,6599.1253333333325,2202.2338053273716,1.0,0.0,0.20342126514540054,0.026713475969427497,0.418885177932274,0.04857755307643231,322.2,111.24760029514601,105212644.53333333,19247013.26824987,-4.232969378940732,0.0
high,kraken_vomm,15,2.0,1489.347237502916,959.5909225473989,4351.919999999997,1861.7476528213253,5803.360000000001,1962.8558890118666,1.0,0.0,0.18776396069101137,0.023912316422666516,0.47053186975677425,0.06810736764722604,1428.8666666666666,389.753194189544,140721659.06666666,34192777.42577836,-5.379325203241679,0.0
high,lass,15,2.0,1626.0889777652296,1025.1448878456606,4835.659999999999,1851.9037585106078,6898.328666666668,2561.439908962665,1.0,0.0,0.2252578705474894,0.033716144082476904,0.39748712225120625,0.0325359194661982,3028.733333333333,257.5709241206797,172889984.66666666,26493745.17359722,-1.683999195583812,0.0
high,rl_q,15,2.0,1465.8363696770405,970.661377336665,4384.409999999998,1887.4626372082569,6385.463999999997,2468.5510806277643,0.9993095333333333,0.0014956359787569999,0.1842180855603402,0.02225846319608426,0.25053186841606734,0.02275210204294918,2599.866666666667,268.38082395481734,170166219.46666667,28861537.184149507,-4.0168509126761744,0.0
high,hptd,15,2.0,1492.3556021277,980.4848894862236,4565.353333333333,1871.0706019994723,6467.538666666669,1886.2476019140918,0.996379,0.0023067045448307622,0.19098022727455805,0.02606739892877808,0.3013699659706127,0.018783699450144065,4327.066666666667,352.06542952506237,223949807.26666668,34442395.25307322,-1.981393870789093,0.0
high,hist,15,2.0,1465.9964981669543,976.3473825023053,4483.943333333333,1858.0124829338727,6421.445333333333,1962.5429578623853,0.9933192666666667,0.002804811872139606,0.18463348330761126,0.024259536529219906,0.24217517730489294,0.0417246156200094,1902.5333333333333,69.6448815334589,148164948.53333333,21057819.276802696,-3.5561724486204502,0.0
high,kpa,15,2.0,1436.5988776082172,707.5188592179097,4140.196666666666,1789.54516003635,6086.4666666666735,1889.9937700527328,0.9602434666666666,0.0756737986849446,0.20267280850858688,0.06502219443614089,0.2312975690357141,0.02905902050684269,4753.466666666666,2699.613513784802,212796963.6,114727877.56125969,-11.869521786629441,0.0
high,oracle,15,2.0,769.7586033799413,823.5975261632169,1893.0566666666666,2645.193724668159,2102.738,2712.2345837182193,1.0,0.0,0.0,0.0,0.966109195249268,0.03521642440659098,7753.733333333334,1015.1375323195422,13199597.4,5563432.369065429,8.04004704467091,0.0
high,depth_breadth,3,2.0,2385.5770891120105,87.41743862045998,4941.033333333333,318.62549071493464,6585.850000000016,485.4932311577859,1.0,0.0,0.15692999346467687,0.011771594583091679,0.34289191574870376,0.014900286839625368,2343.6666666666665,196.39076692485656,142289356.66666666,12189873.565050883,-1.8042927243657498,0.0
